ID,FPS,LOOPTYPE,,
SlashEffectU,4,0,,
,,,,
TEXTURE_ID,LEFT,TOP,WIDTH,HEIGHT
graphics/Player/Slash.png,48,0,24,24
graphics/Player/Slash.png,48,24,24,24
graphics/Player/Slash.png,48,48,24,24
graphics/Player/Slash.png,48,72,24,24
graphics/Player/Slash.png,48,96,24,24
graphics/Player/Slash.png,48,120,24,24
graphics/Player/Slash.png,48,144,24,24
graphics/Player/Slash.png,48,168,24,24
graphics/Player/Slash.png,48,192,24,24
graphics/Player/Slash.png,48,216,24,24
graphics/Player/Slash.png,48,240,24,24
graphics/Player/Slash.png,48,264,24,24
