TEXTURE_ID,LEFT,TOP,WIDTH,HEIGHT,NAME,TILE_INDEX
graphics/mine/mine_wall.png,0,0,16,48,wood_wall_L,0
graphics/mine/mine_wall.png,16,0,16,48,wood_wall_R,1
graphics/mine/mine_wall.png,32,0,16,48,wall_R,2
graphics/mine/mine_wall.png,48,0,16,48,wall_L,3
graphics/mine/mine_wall.png,0,48,16,16,wall_BR,4
graphics/mine/mine_wall.png,16,48,16,16,wall_BL,5
graphics/mine/mine_wall.png,0,64,16,48,wall_TR,6
graphics/mine/mine_wall.png,16,64,16,48,wall_TL,7
graphics/mine/mine_wall.png,32,48,16,16,wood_wall_T,8
graphics/mine/mine_wall.png,32,64,16,16,wood_wall_B,9
graphics/mine/mine_wall.png,48,48,16,16,wall_B,10
graphics/mine/mine_wall.png,48,64,16,48,wall_T,11
graphics/mine/mine_wall.png,32,80,16,16,wall_LRB,12
graphics/mine/mine_wall.png,32,96,16,16,wall_TB,13
graphics/mine/mine_wall.png,0,112,16,16,wall_LRTB,14
graphics/mine/mine_wall.png,16,112,16,16,wall_RTB,15
graphics/mine/mine_wall.png,32,112,16,16,wall_LTB,16
graphics/mine/mine_wall.png,0,128,16,48,wall_LRT,17
graphics/mine/mine_wall.png,16,128,16,48,wall_LR,18
graphics/mine/mine_wall.png,32,128,16,48,wall_None,19
